Scene,Person,Pose,Text,
,,,,
INTRO SEQUENCE,YOU,NEUTRAL,(I got this.),
(office lobby),CYRUS,SMILING,"""Hi! How can I help you?""",
,YOU,SMILING,"""Hi! I'm the new hire, it's my first day!""",
,CYRUS,SMILING,"""Oh! Yes, the boss wants to see you -- let me bring you to her.""",
,YOU,SMILING,"""Thank you so much.""",
,CYRUS,SMILING,"""I'm Cyrus, and let me be the first to welcome you to Big Energy Corp.""",
(scene change),,,,
(office boss office),CYRUS,SMILING,"""Cassandra? Here's the new guy, just arrived.""",
,CASSANDRA,NEUTRAL,"""Ah, yes. Welcome to Big Energy Corp.""",
,YOU,SMILING,"""Thanks for having me! I'm excited to do some great work here.""",
(leaves),CYRUS,SMILING,"""Good luck!""",
,CASSANDRA,SMUG,"""Well, why wouldn't you be? After all, we do do some amazing work here.""",
,CASSANDRA,SUMG,"""Walk with me.""",
(scene change),,,,
(office cubicles setting),CASSANDRA,SMUG,"""Big Energy Corp. is solely responsible for ensuring new up-and-coming neighbourhoods get electricity.""",
,CASSANDRA,SMUG,"""And with you as our Chief Energy Coordinator, you get the privilege of determining where that energy comes from.""",
,CASSANDRA,SMUG,"""I was in your shoes a long time ago, and I made very cost-efficient choices and look at me now!""",
,YOU,WORRIED,"""hehheh... Oh yeah?""",
,CASSANDRA,SMUG,"""If I have one piece of advice to give you, it's to save money.""",
,CASSANDRA,SERIOUS,"""Money makes the world go 'round, wouldn't be here without it.""",
(scene change),,,,
(your cubicle) (leaves),CASSANDRA,SMILING,"""Anyway, here's your cubicle. A new project should be coming your way in the next few hours. I expect great things!""",
,YOU,WORRIED,(Oh boy.),
(enters),BARRY,SMILING,"""Knock knock! Hey new guy!""",
,YOU,SHOCKED,"""Oh! Hey, who are you?""",
,BARRY,SMILING,"""Your co-worker! I'm Barry, just a couple cubicles down. Thought I'd say hi to the new guy.""",
,BARRY,SMILING,"""First day's always a little overwhelming. I still remember my first day...""",
,BARRY,SMILING,"""Anyway, anything I can help with?""",
,YOU,WORRIED,"""Uh...""",
,BARRY,SMILING,"""Need me to show you the ropes?""",
,YOU,WORRIED,"""Yeah... that'd be great, haha.""",
,BARRY,SMILING,"""Don't worry about it, I was just like you once. Here, lemme show you how this works.""",
(Transition to TUTORIAL),,,,
TUTORIAL SEQUENCE,BARRY,,"""So, you see this grid on the screen? This is the power grid for the neighbourhood.""",
,BARRY,,"""Your goal is to cover the blue squares with these power tiles on the right.""",
,BARRY,,"""The white squares are your boundaries, you can't put anything there. Natural land deformations, what have you.""",
,BARRY,,"""The green squares are ideal terrain, putting power tiles over all of them gives the company a monetary bonus.""",
,BARRY,,"""You don't need to supply power there, but it helps the company a bit. And you're part of the company now, so it might be helpful.""",
,BARRY,,"""There are a couple different power tiles, which each represent different sources of power.""",
,X,,,
,X,,,
,X,,,
,X,,,
,X,,,
,X,,,
,X,,,
,X,,,
,BARRY,,"""Each power tile has varying amounts of ecological friendliness and cost of implementation.""",
,BARRY,,"""Once you meet the power quota for the neighbourhood (fill enough blue squares), the project is automatically submitted and you're good to go!""",
,BARRY,,"""Got it? Or do I need to go through it again?""",
DIALOGUE CHOICE,YOU,,"""I got it down.""","""Sorry, could you repeat it?"""
,,,,
