Scene,Person,Pose,Text
#^,YOU,NEUTRAL,(I got this.)
,CYRUS,SMILING,"""Hi! How can I help you?"""
,YOU,SMILING,"""Hi! I'm the new hire, it's my first day!"""
,CYRUS,SMILING,"""Oh! Yes, the boss wants to see you -- let me bring you to her."""
,YOU,SMILING,"""Thank you so much."""
,CYRUS,SMILING,"""I'm Cyrus, and let me be the first to welcome you to Big Energy Corp."""
~,,,
&,CYRUS,SMILING,"""Cassandra? Here's the new guy, just arrived."""
,CASSANDRA,NEUTRAL,"""Ah, yes. Welcome to Big Energy Corp."""
,YOU,SMILING,"""Thanks for having me! I'm excited to do some great work here."""
,CYRUS,SMILING,"""Good luck!"""
^,CASSANDRA,SMUG,"""Well, why wouldn't you be? After all, we do do some amazing work here."""
,CASSANDRA,SUMG,"""Walk with me."""
~,,,
,CASSANDRA,SMUG,"""Big Energy Corp. is solely responsible for ensuring new up-and-coming residential districts get electricity."""
,CASSANDRA,SMUG,"""And with you as our Chief Energy Coordinator, you get the privilege of determining where that energy comes from."""
,CASSANDRA,SMUG,"""I was in your shoes a long time ago, and I made very cost-efficient choices and look at me now!"""
,YOU,WORRIED,"""hehheh... Oh yeah?"""
,CASSANDRA,SMUG,"""If I have one piece of advice to give you, it's to save money."""
,CASSANDRA,SERIOUS,"""Money makes the world go 'round, wouldn't be here without it."""
~,,,
,CASSANDRA,SMILING,"""Anyway, here's your cubicle. The Harminee project should be coming your way in the next few hours. I expect great things!"""
&,YOU,WORRIED,(Oh boy.)
$,BARRY,SMILING,"""Knock knock! Hey new guy!"""
,YOU,SHOCKED,"""Oh! Hey, who are you?"""
,BARRY,SMILING,"""Your co-worker! I'm Barry, just a couple cubicles down. Thought I'd say hi to the new guy."""
,BARRY,SMILING,"""First day's always a little overwhelming. I still remember my first day..."""
,BARRY,SMILING,"""Anyway, anything I can help with?"""
,YOU,WORRIED,"""Uh..."""
,BARRY,SMILING,"""Need me to show you the ropes?"""
,YOU,WORRIED,"""Yeah... that'd be great, haha."""
,BARRY,SMILING,"""Don't worry about it, I was just like you once. Here, lemme show you how this works."""
~#$,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
~#%,,,
,SIENNA,SMILING,"""Hi I'm the new employee here."""
,YOU,SMILING,"""Hi nice to meet you."""
,YOU,NEUTRAL,"""How are you liking it here so far?"""
,SIENNA,NEUTRAL,"""It's going pretty good so far, I can't wait to be able to make an impact while I'm here."""
,SIENNA,NEUTRAL,""" I feel like the electricity plan for my area was designed, pretty well but I think there could be improvements."""
,YOU,NEUTRAL,"""Oh yea? What are the improvements you would make?"""
,SIENNA,NEUTRAL,"""The improvements I would make would be to try to make a lower cost electricitiy plan for neighbourhoods so that the customers also have low electricity bills."""
,SIENNA,NEUTRAL,"""I live in Harminee and although the prices for electricity aren't super high, it would be helpful if it could be further reduced, as in my neighbourhood people are constantly trying to make ends meet."""
,YOU,NEUTRAL,"""Oh, Harminee? I actually worked on that project,"""
,YOU,NEUTRAL,"""My objective for that project was to reduce the cost as much as I could, but at the same time ensuring that I was being environmentally consious, that is why you might find the prices a bit high."""
,YOU,NEUTRAL,"""In any case, I hope that you can use your perspective to do great work here!"""
,,,
,,,
~#*,,,
,HONEY,SMILING,"""Hey, how was work?"""
